product_id,sku,name,description,price,currency,category_id,status,created_at,updated_at
1,SKU1000,Stuff Most,Something life then area.,190.4,USD,1,ARCHIVED,2025-07-08 13:03:41,2025-03-21 19:53:07
2,SKU1001,Recognize Ready,Story million thought wait stop up.,475.6,USD,9,INACTIVE,2025-04-02 11:04:15,2025-05-08 17:59:28
3,SKU1002,Daughter Very,Dream build key herself else everyone nor.,367.34,USD,4,ACTIVE,2025-06-22 21:57:11,2025-02-11 03:35:24
4,SKU1003,Note Word,Drive set break administration among manage way.,301.34,USD,9,INACTIVE,2025-01-14 09:59:33,2025-07-04 11:11:39
5,SKU1004,Factor Sit,He tree film today.,82.23,USD,7,ACTIVE,2025-01-03 08:12:22,2025-08-04 05:37:57
6,SKU1005,Every White,Purpose heart question clearly campaign crime case.,82.22,USD,4,INACTIVE,2025-05-03 21:52:53,2025-04-13 12:41:00
7,SKU1006,Star Run,Meet front certain in industry.,33.75,USD,8,ARCHIVED,2025-05-07 21:09:11,2025-08-09 16:49:59
8,SKU1007,Business Avoid,Forward world upon say year others.,433.76,USD,10,INACTIVE,2025-03-26 03:08:46,2025-04-30 05:02:43
9,SKU1008,Trial East,Pressure often future few indeed arm.,302.55,USD,5,ARCHIVED,2025-06-23 23:38:27,2025-04-29 02:28:55
10,SKU1009,Short World,Successful significant physical bad.,355.5,USD,1,INACTIVE,2025-05-18 08:36:06,2025-05-02 18:45:44
11,SKU1010,Rise Beautiful,Reduce leg section employee she.,15.19,USD,3,INACTIVE,2025-08-30 20:15:38,2025-02-21 03:34:07
12,SKU1011,Article Great,Ahead on represent.,485.11,USD,7,ARCHIVED,2025-08-27 00:11:58,2025-07-08 20:18:39
13,SKU1012,Second Oil,Everybody city operation white city fine final tough.,417.06,USD,6,ARCHIVED,2025-04-10 04:33:38,2025-01-24 05:19:26
14,SKU1013,Build Reality,Former north series great far work.,110.11,USD,5,ACTIVE,2025-08-19 10:10:30,2025-05-22 15:55:00
15,SKU1014,Me Term,Effect back stock the environmental.,95.0,USD,3,INACTIVE,2025-01-27 07:59:04,2025-05-22 08:47:05
16,SKU1015,Bank Seven,Offer charge sport heart pressure reveal.,95.79,USD,4,ACTIVE,2025-04-02 23:12:21,2025-07-14 12:41:26
17,SKU1016,Possible Magazine,Light indeed coach speak.,155.6,USD,6,ACTIVE,2025-02-12 17:44:44,2025-04-01 14:50:40
18,SKU1017,Wrong Impact,Picture wife party skill.,264.75,USD,2,ARCHIVED,2025-02-04 23:39:25,2025-02-18 05:41:24
19,SKU1018,Major Involve,Indeed entire idea also radio strong.,218.81,USD,2,ARCHIVED,2025-01-25 01:56:52,2025-07-27 00:59:31
20,SKU1019,Item Wear,Meeting model strong during modern artist.,149.16,USD,7,INACTIVE,2025-07-27 23:50:28,2025-07-15 11:12:07
21,SKU1020,Mean Article,Probably fast certain treatment none into low he.,307.87,USD,2,ACTIVE,2025-06-11 08:40:48,2025-01-03 05:40:25
22,SKU1021,Car Since,Vote woman east themselves reach blue.,74.05,USD,6,INACTIVE,2025-04-20 18:52:50,2025-02-13 18:23:10
23,SKU1022,General Push,Parent watch beyond.,149.61,USD,6,ACTIVE,2025-07-14 23:46:16,2025-07-13 13:50:04
