review_id,product_id,user_id,rating,comment,created_at
1,182,434,3,Nothing leg close.,2025-03-21 06:36:28
2,988,310,5,Usually spend push material care past popular.,2025-03-02 14:52:25
3,408,241,5,Sell power loss hundred.,2025-02-08 16:27:10
4,992,365,2,Usually enough movie officer important.,2025-02-22 17:17:35
5,327,333,2,Alone clear hospital effect.,2025-03-29 04:40:46
6,299,192,4,Ever seven own.,2025-06-17 12:40:12
7,753,95,3,Son should more affect must performance economic north.,2025-05-03 05:45:07
8,712,437,5,Cover east wrong challenge best.,2025-01-03 04:25:31
9,649,199,3,Suffer indeed suddenly.,2025-02-24 18:25:01
10,503,252,3,Poor trouble recently its note.,2025-05-25 03:02:30
11,991,243,3,Would little him former with piece visit.,2025-03-10 20:53:00
12,590,71,1,Also personal soon wide question customer word.,2025-09-01 17:06:06
13,801,84,5,Process last example manager question.,2025-01-09 02:37:40
14,249,99,5,Travel manage father church.,2025-03-24 16:46:49
15,334,116,2,Forward little American go perhaps senior.,2025-07-27 15:11:58
16,386,17,1,Lose perform her least.,2025-08-14 18:54:20
17,288,210,2,Live focus benefit price available.,2025-09-02 01:22:53
18,837,392,5,Food although pattern door state.,2025-05-12 12:51:28
19,805,497,5,Should seek seat eight.,2025-03-05 12:56:15
20,403,8,1,On speech table here.,2025-02-13 17:19:43
21,374,474,4,Shoulder edge interview.,2025-08-11 14:38:00
22,117,139,3,National reach relationship place just crime.,2025-01-23 07:29:54
23,955,487,2,Defense including main order rich.,2025-02-12 12:33:43
24,578,212,2,School necessary letter final let.,2025-07-28 11:40:48
25,205,114,2,Major us happy read.,2025-02-09 11:52:22
26,607,381,1,Heavy between teach start or field.,2025-03-13 01:14:00
27,559,344,3,Property cost finish fight station may surface.,2025-09-06 12:18:23
28,185,104,2,Yeah pressure near.,2025-03-14 10:40:58
29,699,388,4,Ability reason interest name rate it.,2025-08-11 04:41:10
30,787,105,4,Act view glass admit weight.,2025-03-22 13:25:28
31,564,34,5,East star about charge help.,2025-01-11 13:17:12
32,28,91,3,Matter return central myself serious.,2025-06-19 03:25:17
33,976,475,5,Deep radio tend news ready bar someone.,2025-01-11 02:42:21
34,745,489,5,Movement picture statement meeting.,2025-06-09 03:51:59
35,473,225,3,Thank skill many day out involve along.,2025-02-21 21:38:22
36,966,444,5,Choice although three.,2025-06-27 09:14:15
37,726,316,3,Moment fire out final into.,2025-03-10 22:14:36
38,215,251,4,Maintain Republican system argue.,2025-06-19 11:12:56
39,449,353,3,As different production such sometimes.,2025-02-14 15:38:23
40,817,167,2,Receive weight pass figure property hair water your.,2025-07-28 06:49:08
41,299,444,1,Whom challenge year town talk arrive under.,2025-01-25 22:49:27
42,852,235,4,When lay discussion base rest fall character.,2025-02-21 16:05:49
43,710,455,1,Like management difficult recently color himself brother beyond.,2025-03-06 13:27:23
44,71,127,4,Politics court step provide weight people moment enter.,2025-04-13 12:41:53
45,839,219,2,Measure look movement.,2025-08-21 17:54:34
46,869,208,1,Meeting reach too.,2025-07-27 17:46:23
47,815,398,2,Plan most seem then so because left.,2025-06-27 01:00:04
48,815,22,2,From across beat civil.,2025-08-25 17:01:35
49,419,312,4,Treat executive thought recent couple understand.,2025-05-20 19:04:56
50,690,377,5,Great candidate class join project air.,2025-06-15 08:25:34
51,512,423,2,Building structure guy down.,2025-03-11 12:22:58
